x:0.133,y:-0.106,z:0.172
x:-0.153,y:-0.162,z:0.305
x:0.436,y:0.325,z:0.046
x:-0.260,y:0.359,z:0.087
x:0.073,y:0.188,z:0.106
x:0.000,y:-0.167,z:-0.206
x:0.241,y:0.154,z:0.459
x:-0.034,y:-0.113,z:-0.036
x:-0.389,y:-0.050,z:-0.227
x:0.368,y:0.039,z:-0.418
x:-0.010,y:-0.235,z:0.179
x:0.095,y:-0.250,z:0.214
x:0.113,y:-0.315,z:-0.073
x:-0.027,y:0.196,z:0.073
x:-0.487,y:-0.087,z:-0.255
x:-0.019,y:-0.132,z:0.151
x:-0.284,y:0.208,z:0.178
x:0.186,y:-0.151,z:-0.123
x:0.287,y:0.117,z:-0.051
x:0.017,y:-0.129,z:-0.001
x:-0.072,y:-0.015,z:0.119
x:-0.178,y:0.100,z:0.124
x:0.042,y:-0.123,z:-0.222
x:-0.275,y:-0.081,z:0.205
x:0.292,y:-0.010,z:0.209
x:0.370,y:0.085,z:0.018
x:-0.225,y:-0.286,z:0.226
x:0.027,y:-0.018,z:-0.154
x:0.269,y:-0.317,z:-0.119
x:-0.116,y:0.285,z:0.200
x:-0.043,y:-0.326,z:-0.007
x:-0.148,y:0.195,z:0.078
x:0.294,y:0.002,z:0.011
x:0.050,y:-0.513,z:-0.185
x:0.206,y:-0.060,z:-0.108
x:0.062,y:-0.070,z:-0.008
x:0.194,y:0.002,z:0.022
x:-0.134,y:0.220,z:0.190
x:-0.063,y:0.105,z:0.020
x:-0.050,y:-0.153,z:-0.104
x:-0.031,y:0.247,z:-0.281
x:0.209,y:0.036,z:-0.041
x:0.016,y:-0.037,z:-0.009
x:-0.088,y:-0.122,z:-0.356
x:-0.196,y:-0.093,z:0.098
x:-0.174,y:-0.057,z:0.130
x:-0.034,y:0.223,z:0.050
x:0.295,y:-0.084,z:-0.061
x:0.044,y:-0.376,z:-0.163
x:0.032,y:-0.128,z:-0.176
x:-0.275,y:-0.062,z:0.186
x:0.147,y:0.090,z:0.013
x:-0.095,y:0.015,z:-0.326
x:0.162,y:0.289,z:-0.220
x:0.061,y:0.014,z:-0.113
x:-0.318,y:0.126,z:0.029
x:0.004,y:-0.480,z:0.146
x:0.180,y:-0.079,z:0.225
x:-0.221,y:-0.147,z:-0.016
x:-0.096,y:0.265,z:0.420
x:-0.071,y:-0.119,z:-0.088
x:-0.007,y:-0.001,z:-0.145
x:0.156,y:0.333,z:-0.268
x:-0.253,y:-0.174,z:-0.333
x:-0.071,y:0.237,z:-0.022
x:0.003,y:0.108,z:-0.156
x:0.318,y:0.309,z:0.031
x:-0.066,y:-0.345,z:0.289
x:-0.118,y:-0.306,z:-0.152
x:0.282,y:0.125,z:0.098
x:0.353,y:0.115,z:0.117
x:-0.029,y:-0.091,z:0.020
x:-0.036,y:0.287,z:0.184
x:-0.294,y:0.060,z:0.151
x:-0.254,y:-0.007,z:-0.155
x:0.100,y:0.144,z:0.135
x:0.272,y:-0.177,z:-0.257
x:0.375,y:-0.105,z:0.083
x:0.009,y:0.087,z:-0.029
x:-0.027,y:0.072,z:0.016
x:-0.271,y:-0.206,z:-0.339
x:-0.038,y:0.337,z:0.567
x:-0.335,y:-0.150,z:0.435
x:-0.341,y:-0.160,z:-0.020
x:-0.078,y:-0.074,z:-0.130
x:-0.063,y:0.163,z:0.293
x:-0.164,y:0.392,z:0.255
x:0.059,y:0.127,z:0.181
x:-0.076,y:-0.093,z:-0.067
x:0.202,y:0.285,z:0.126
x:0.122,y:0.152,z:-0.041
x:0.439,y:-0.051,z:-0.149
x:-0.081,y:0.463,z:-0.068
x:-0.076,y:0.183,z:-0.037
x:0.060,y:0.045,z:0.027
x:0.121,y:0.125,z:-0.019
x:-0.368,y:-0.179,z:0.221
x:0.068,y:0.225,z:-0.282
x:0.055,y:0.058,z:-0.166
x:-0.167,y:0.082,z:0.108
x:0.062,y:-0.322,z:0.081
x:0.169,y:-0.013,z:0.161
x:-0.524,y:0.351,z:0.187
x:0.022,y:0.152,z:-0.070
x:0.154,y:0.048,z:0.245
x:0.033,y:0.136,z:0.084
x:-0.192,y:-0.052,z:-0.169
x:0.172,y:-0.241,z:-0.203
x:0.064,y:-0.103,z:0.133
x:-0.023,y:-0.105,z:0.006
x:-0.098,y:-0.053,z:-0.008
x:-0.220,y:0.108,z:0.315
x:-0.088,y:-0.069,z:-0.080
x:0.027,y:0.130,z:-0.034
x:0.097,y:-0.250,z:-0.357
x:-0.295,y:-0.126,z:0.164
x:0.340,y:0.363,z:0.173
x:0.038,y:0.128,z:-0.262
x:-0.071,y:0.001,z:0.146
x:-0.130,y:0.180,z:0.173
x:0.130,y:0.106,z:0.137
x:-0.086,y:0.015,z:-0.190
x:-0.306,y:-0.077,z:-0.035
x:-0.160,y:-0.039,z:0.032
x:0.166,y:-0.083,z:-0.016
x:0.238,y:0.289,z:-0.005
x:0.032,y:0.037,z:0.002
x:0.357,y:-0.113,z:-0.170
x:0.090,y:0.084,z:0.093
x:-0.046,y:0.072,z:0.114
x:-0.138,y:-0.045,z:0.143
x:0.297,y:0.519,z:-0.056
x:-0.056,y:0.160,z:-0.030
x:-0.102,y:0.096,z:0.097
x:0.176,y:-0.023,z:0.120
x:0.211,y:-0.182,z:-0.057
x:0.137,y:-0.029,z:-0.129
x:-0.086,y:0.127,z:0.043
x:-0.236,y:-0.073,z:0.336
x:0.052,y:0.177,z:-0.191
x:-0.325,y:0.177,z:-0.226
x:0.010,y:0.121,z:-0.258
x:-0.184,y:-0.193,z:-0.041
x:0.234,y:-0.450,z:-0.178
x:0.008,y:-0.072,z:-0.236
x:0.157,y:0.141,z:-0.053
x:0.119,y:0.264,z:0.023
x:-0.136,y:-0.031,z:-0.063
x:0.157,y:-0.165,z:-0.045
x:0.313,y:-0.126,z:-0.333
x:0.292,y:0.153,z:-0.418
x:0.041,y:0.287,z:0.257
x:-0.152,y:0.354,z:0.096
x:-0.243,y:0.316,z:0.288
x:0.178,y:0.288,z:-0.063
x:0.061,y:0.001,z:-0.158
x:-0.213,y:0.006,z:0.255
x:0.367,y:-0.035,z:0.104
x:-0.031,y:-0.055,z:0.174
x:0.063,y:-0.131,z:0.218
x:0.054,y:-0.131,z:0.071
x:0.026,y:0.255,z:-0.011
x:-0.300,y:0.013,z:-0.022
x:0.043,y:0.049,z:0.192
x:0.134,y:0.053,z:0.138
x:-0.131,y:-0.097,z:0.224
x:-0.280,y:0.100,z:-0.040
x:-0.215,y:-0.128,z:0.272
x:0.066,y:0.151,z:0.633
x:-0.101,y:-0.251,z:0.098
x:-0.176,y:0.109,z:-0.165
x:-0.415,y:-0.263,z:0.148
x:-0.080,y:0.085,z:0.095
x:0.071,y:0.016,z:0.242
x:-0.129,y:0.398,z:-0.051
x:0.130,y:0.023,z:0.160
x:-0.191,y:-0.261,z:0.189
x:-0.354,y:-0.070,z:0.057
x:-0.062,y:-0.036,z:-0.350
x:-0.339,y:0.101,z:-0.056
x:-0.051,y:0.219,z:0.323
x:0.303,y:0.133,z:-0.243
x:-0.164,y:0.256,z:-0.073
x:-0.274,y:0.033,z:-0.287
x:-0.475,y:-0.533,z:0.188
x:-0.290,y:0.015,z:-0.056
x:0.292,y:0.254,z:-0.167
x:-0.128,y:-0.237,z:-0.097
x:0.296,y:0.138,z:-0.174
x:0.228,y:0.348,z:0.073
x:-0.420,y:-0.044,z:0.287
x:-0.016,y:-0.285,z:-0.096
x:0.084,y:0.081,z:0.018
x:-0.087,y:-0.172,z:-0.405
x:-0.487,y:-0.062,z:-0.124
